"","higher_taxon","family","length_min","length_max","mass_reference","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","phytophagous","zoophagous","mycetophagous","saprophagous","detritophagous","coprophagous","phyllophagous","saproxylic","sap_sucking","stem","flower","seed","gall_inducing","miners","roots","not_specified","predator","micropredator","parasite","parasitoid","necrophorous","sub_family","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","class","in_IBA"
"919","Diptera","Megamerinidae",NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Predator","Wood","Insecta",TRUE
"920","Diptera","Microphoridae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"921","Diptera","Mycetobiidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Fungi",NA,FALSE
"922","Diptera","Neottiophilidae",NA,NA,NA,1,0,1,0,0,0.1,0.8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,"Fungi",NA,FALSE
"923","Diptera","Opetiidae",NA,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Wood","Insecta",TRUE
"924","Diptera","Otitidae",NA,NA,NA,1,0,1,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,FALSE
"925","Diptera","Pediciidae",NA,NA,NA,0.1,0.9,1,0,0.2,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Soil","Insecta",TRUE
"926","Diptera","Penthetriidae",NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,FALSE
"927","Diptera","Phaeomyiidae",NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Saprophage-parasitoid","Soil","Insecta",TRUE
"928","Diptera","Pseudopomyzidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Wood",NA,FALSE
"929","Diptera","Tanypezidae",NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Wood","Insecta",TRUE
"930","Diptera","Tethinidae",NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,FALSE
"931","Diptera","Thyreophoridae",NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"Predator",NA,NA,FALSE
"932","Diptera","Trixoscelididae",NA,NA,NA,1,0,1,0,0.3,0.2,0.2,0,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"Saprophagous","Temporary habitats",NA,FALSE
