"","higher_taxon","family","length_min","length_max","mass_reference","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","phytophagous","zoophagous","mycetophagous","saprophagous","detritophagous","coprophagous","phyllophagous","saproxylic","sap_sucking","stem","flower","seed","gall_inducing","miners","roots","not_specified","predator","micropredator","parasite","parasitoid","necrophorous","sub_family","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","class","in_IBA"
"837","Trichoptera","Glossosomatidae",3,10,"(Neboiss 1986)",0,1,1,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"838","Trichoptera","Goeridae",4,10,"(Parker 1998)/(Greenhalgh & Ovenden 2004) ",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"839","Trichoptera","Helicophidae",3,6,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"840","Trichoptera","Helicopsychidae",4,6,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"841","Trichoptera","Hydrobiosidae",4,13,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"842","Trichoptera","Hydropsychidae",3,21,"(Neboiss 1986) /(Picker et al. 2004)",0,1,1,0,0.2,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0.5,NA,"Saprophagous","Water","Insecta",TRUE
"843","Trichoptera","Hydroptilidae",1.5,4,"(Neboiss 1986)",0,1,1,0,0.1,0.1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"844","Trichoptera","Kokiriidae",5,9,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"845","Trichoptera","Lepidostomatidae",8,10,"(Arnett 2000)",0,1,1,0,0.3,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"Saprophagous","Water","Insecta",TRUE
"846","Trichoptera","Leptoceridae",4,15,"(Neboiss 1986)",0,1,1,0,0.3,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"847","Trichoptera","Limnephilidae",7,23,"(Neboiss 1986)",0,1,1,0,0.4,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"848","Trichoptera","Limnocentropodidae",10,12,"(Wiggins 1956)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"849","Trichoptera","Molannidae",10,17,"(Arnett 2000)",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"850","Trichoptera","Odontoceridae",5,14,"(Neboiss 1986)/(Arnett 2000)",0,1,1,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water",NA,FALSE
"851","Trichoptera","Oeconesidae",12,16,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"852","Trichoptera","Philopotamidae",6,9,"(Neboiss 1986)",0,1,1,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"853","Trichoptera","Philorheithridae",6,13,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"854","Trichoptera","Phryganeidae",12,28,"(Wiggins 1998)",0,1,1,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"855","Trichoptera","Pisuliidae",6,19,"(Morse 1974)/ (Picker et al. 2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"856","Trichoptera","Polycentropodidae",5,10,"(Neboiss 1986)",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"857","Trichoptera","Psychomyiidae",4,6,"(Arnett 2000)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
